page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  20   183 smask     535    88  gray    1   8  image  no      1615  0    72    72  338B 0.7%
  20   184 image     557   297  rgb     3   8  jpeg   no      1619  0    72    72 7371B 1.5%
  20   185 mask      557   297  -       1   1  image  no      1619  0    72    72  103B 0.5%
  20   186 image     535    88  rgb     3   8  jpeg   no      1623  0    72    72 3487B 2.5%
  20   187 smask     535    88  gray    1   8  image  no      1623  0    72    72  338B 0.7%
  20   188 image     557   220  rgb     3   8  jpeg   no      1627  0    72    72 4882B 1.3%
  20   189 mask      557   220  -       1   1  image  no      1627  0    72    72   82B 0.5%
  21   190 image     557   166  rgb     3   8  jpeg   no      1638  0    72    72 4182B 1.5%
  21   191 mask      557   166  -       1   1  image  no      1638  0    72    72   71B 0.6%
  21   192 image     535   153  rgb     3   8  jpeg   no      1642  0    72    72 4475B 1.8%
  21   193 smask     535   153  gray    1   8  image  no      1642  0    72    72  484B 0.6%
  21   194 image     557   547  rgb     3   8  jpeg   no      1646  0    72    72 10.4K 1.2%
  21   195 mask      557   547  -       1   1  image  no      1646  0    72    72  162B 0.4%
  21   196 image     535   328  rgb     3   8  jpeg   no      1650  0    72    72 6383B 1.2%
  21   197 smask     535   328  gray    1   8  image  no      1650  0    72    72  878B 0.5%
  21   198 image     557    71  rgb     3   8  jpeg   no      1654  0    72    72 2926B 2.5%
  21   199 mask      557    71  -       1   1  image  no      1654  0    72    72   47B 1.0%
  22   200 image     557   248  rgb     3   8  jpeg   no      1665  0    72    72 5311B 1.3%
  22   201 mask      557   248  -       1   1  image  no      1665  0    72    72   91B 0.5%
  22   202 image     535   143  rgb     3   8  jpeg   no      1669  0    72    72 4241B 1.8%
  22   203 smask     535   143  gray    1   8  image  no      1669  0    72    72  461B 0.6%
  22   204 image     557   320  rgb     3   8  jpeg   no      1673  0    72    72 7603B 1.4%
  22   205 mask      557   320  -       1   1  image  no      1673  0    72    72  108B 0.5%
  22   206 image     535   113  rgb     3   8  jpeg   no      1677  0    72    72 3940B 2.2%
  22   207 smask     535   113  gray    1   8  image  no      1677  0    72    72  394B 0.7%
  22   208 image     557   216  rgb     3   8  jpeg   no      1681  0    72    72 4846B 1.3%
  22   209 mask      557   216  -       1   1  image  no      1681  0    72    72   81B 0.5%
  23   210 image     557   261  rgb     3   8  jpeg   no      1694  0    72    72 5529B 1.3%
  23   211 mask      557   261  -       1   1  image  no      1694  0    72    72   94B 0.5%
  23   212 image     535   173  rgb     3   8  jpeg   no      1698  0    72    72 4721B 1.7%
  23   213 smask     535   173  gray    1   8  image  no      1698  0    72    72  529B 0.6%
  23   214 image     557   350  rgb     3   8  jpeg   no      1702  0    72    72 7969B 1.4%
  23   215 mask      557   350  -       1   1  image  no      1702  0    72    72  115B 0.5%
  23   216 image     535   143  rgb     3   8  jpeg   no      1706  0    72    72 4241B 1.8%
  23   217 smask     535   143  gray    1   8  image  no      1706  0    72    72  461B 0.6%
  23   218 image     557   173  rgb     3   8  jpeg   no      1710  0    72    72 4242B 1.5%
  23   219 mask      557   173  -       1   1  image  no      1710  0    72    72   71B 0.6%
  24   220 image     557   195  rgb     3   8  jpeg   no      1723  0    72    72 4666B 1.4%
  24   221 mask      557   195  -       1   1  image  no      1723  0    72    72   78B 0.6%
  24   222 image     535   158  rgb     3   8  jpeg   no      1727  0    72    72 4252B 1.7%
  24   223 smask     535   158  gray    1   8  image  no      1727  0    72    72  495B 0.6%
  24   224 image     557   420  rgb     3   8  jpeg   no      1731  0    72    72 8969B 1.3%
  24   225 mask      557   420  -       1   1  image  no      1731  0    72    72  132B 0.5%
  24   226 image     535   213  rgb     3   8  jpeg   no      1735  0    72    72 5211B 1.5%
  24   227 smask     535   213  gray    1   8  image  no      1735  0    72    72  619B 0.5%
  24   228 image     557   169  rgb     3   8  jpeg   no      1739  0    72    72 4242B 1.5%
  24   229 mask      557   169  -       1   1  image  no      1739  0    72    72   69B 0.6%
  25   230 image     557   197  rgb     3   8  jpeg   no      1751  0    72    72 4677B 1.4%
  25   231 mask      557   197  -       1   1  image  no      1751  0    72    72   79B 0.6%
  25   232 image     535   143  rgb     3   8  jpeg   no      1755  0    72    72 4241B 1.8%
  25   233 smask     535   143  gray    1   8  image  no      1755  0    72    72  461B 0.6%
  25   234 image     557   352  rgb     3   8  jpeg   no      1759  0    72    72 8029B 1.4%
  25   235 mask      557   352  -       1   1  image  no      1759  0    72    72  116B 0.5%
  25   236 image     535   143  rgb     3   8  jpeg   no      1763  0    72    72 4241B 1.8%
  25   237 smask     535   143  gray    1   8  image  no      1763  0    72    72  461B 0.6%
  25   238 image     557   235  rgb     3   8  jpeg   no      1767  0    72    72 5094B 1.3%
  25   239 mask      557   235  -       1   1  image  no      1767  0    72    72   86B 0.5%
  26   240 image     557   111  rgb     3   8  jpeg   no      1779  0    72    72 3450B 1.9%
  26   241 mask      557   111  -       1   1  image  no      1779  0    72    72   59B 0.8%
  26   242 image     535    98  rgb     3   8  jpeg   no      1783  0    72    72 2691B 1.7%
  26   243 smask     535    98  gray    1   8  image  no      1783  0    72    72  360B 0.7%
  26   244 image     557   311  rgb     3   8  jpeg   no      1787  0    72    72 7339B 1.4%
  26   245 mask      557   311  -       1   1  image  no      1787  0    72    72  105B 0.5%
  26   246 image     535   128  rgb     3   8  jpeg   no      1791  0    72    72 4106B 2.0%
  26   247 smask     535   128  gray    1   8  image  no      1791  0    72    72  427B 0.6%
  26   248 image     557   336  rgb     3   8  jpeg   no      1795  0    72    72 7810B 1.4%
  26   249 mask      557   336  -       1   1  image  no      1795  0    72    72  112B 0.5%
  26   250 image     535   153  rgb     3   8  jpeg   no      1799  0    72    72 4475B 1.8%
  26   251 smask     535   153  gray    1   8  image  no      1799  0    72    72  484B 0.6%
  27   252 image     557   804  rgb     3   8  jpeg   no      1811  0    72    72 12.4K 0.9%
  27   253 mask      557   804  -       1   1  image  no      1811  0    72    72  221B 0.4%
  27   254 image     535   291  rgb     3   8  jpeg   no      1815  0    72    72 4641B 1.0%
  27   255 smask     535   291  gray    1   8  image  no      1815  0    72    72  746B 0.5%
  27   256 image     850   618  rgb     3   8  jpeg   no      1819  0   115   115 55.6K 3.6%
  28   257 image     557   519  rgb     3   8  jpeg   no      1827  0    72    72 8834B 1.0%
  28   258 mask      557   519  -       1   1  image  no      1827  0    72    72  155B 0.4%
  28   259 image     535   506  rgb     3   8  jpeg   no      1831  0    72    72 7599B 0.9%
  28   260 smask     535   506  gray    1   8  image  no      1831  0    72    72 1236B 0.5%
  28   261 image     557   275  rgb     3   8  jpeg   no      1835  0    72    72 5698B 1.2%
  28   262 mask      557   275  -       1   1  image  no      1835  0    72    72   95B 0.5%
  28   263 image     535     7  rgb     3   8  jpeg   no      1839  0    72    72 1163B  10%
  28   264 smask     535     7  gray    1   8  image  no      1839  0    72    72   88B 2.3%
